Strain,Type,Rating,Effects,Flavor,Description
Blue-Train,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet","Blue Trainwreck is a sativa-dominant hybrid cross of Trainwreck and Blueberry. This strain, sometimes known as Blueberry Trainwreck, Blue Wreck, and Blue Train, is well-loved for its pleasurable blend of flavors and effects. It expresses trichome-laden spade-shaped buds that are emerald green with amber hairs. Blue Trainwreck offers a sweet blueberry aroma, pungent earthy flavors, and effects that energize and focus. Utilize this hybrid to improve mood and combat fatigue. "
Blue-Trane,hybrid,0,None,None,"Blue Trane is a cut with a mysterious heritage. These seeds were acquired while Colorado Seed Inc.’s head grower was cultivating strains in Hawaii and have since been stabilized and sown elsewhere. Known for its pleasant indica-dominant effects, Blue Trane offers an unexpectedly heady stimuli some have described as psychedelic that melts away into a relaxing body high that sticks to the bones.    "
Blue-Treat,hybrid,4.9,"Relaxed,Focused,Happy,Uplifted,Creative","Earthy,Berry,Blueberry","Jordan of the Islands matched two of the sweetest tasting flowers to make this candy of an strain. Using Blueberry and Dutch Treat genetics, Blue Treat was born. This short plant takes after its strong indica lineage, producing sticky resinous buds that can soothe your pain and relieve your stress. The dark green buds are covered in trichomes and give off a sweet berry aroma."
Blue-Velvet,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Focused","Sweet,Earthy,Diesel","Blue Velvet, also known as Blueberry Thai, is a 50/50 hybrid strain that is named for the lush appearance of its plants. Bred by DJ Short, Blue Velvet is a cross between Purple Thai and Afghani. Its long branches bloom with large red-purple buds that take on a sweet fruity and floral aroma. Invigorating euphoria blankets the mind while the body finds light relaxation, and its functional effects make it easy to either explore creativity or socialize with friends. "
Blue-Venom,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Pine,Blueberry,Berry","Blue Venom, an intoxicating indica-dominant hybrid by G13 Labs, is a cross between the sweet-tasting Blueberry and potent White Widow. With a sweet, blueberry aroma inherited from its parent strain, Blue Venom’s frosty, dense buds promise a fast-acting and long-lasting experience. Its full-body relaxation eventually progresses into a deep sedation, putting to rest any pain, stress, and sleeplessness."
Blue-Widow,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Sweet,Berry,Earthy","Blue Widow is a favorite strain that provides consumers with both uplifting and calming effects. These flowers will have a strong sweet aroma that may also include sour citrus or pine. The buds can be colorful, with tints of blue and purple, and should have a coat of long orange hairs. Slightly indica-dominant, this Widow plays against type, growing taller than most indicas and providing more mental, heady effects. In higher doses, the blissful relaxation this strain provides may lead to drowsiness and help you get to sleep. A cross between Blueberry and White Widow, Blue Widow is sometimes also called Berry White, White Berry, and Blue Venom."
Blue-Wonder,hybrid,5,"Uplifted,Happy,Euphoric,Focused,Relaxed",Blueberry,"Blue Wonder is a sativa-dominant hybrid originating from California as a distinct descendant of Blue Dream. Originally bred from Blueberry and Super Silver Haze, Blue Wonder exhibits a profound level of cerebral invigoration while maintaining a classic Blue Dream body buzz. With a traditional Blueberry aroma, Blue Wonder delivers gentle euphoria and swift relief for patients treating pain, depression, and nausea."
Blue-Wreck,hybrid,4.7,"Sleepy,Happy,Euphoric,Relaxed,Uplifted","Blueberry,Earthy,Honey","Blue Wreck, also called Blueberry Trainwreck, is a hybrid strain primarily led by its sativa influence. A cross between Blueberry and Trainwreck, Blue Wreck’s flavor is a complex mix of sweet berry, sour fruit, and tangy skunk. Its effects are typically described as clear-headed and active, with a burst of calm euphoria that can help you maintain a positive outlook throughout the day."
Blue-Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric","Berry,Sweet,Flowery","Blue Zkittlez by Dying Breed Seeds is an indica-dominant cross of Blue Diamond and Zkittlez. This odoriferous flower offers a terpene profile of tart citrus, sweet earth, and wildflowers. The physical effects of this strain are mellow and moderately sedating, igniting appetite while weighing on the limbs. Its strong physical effects and uplifting mental high make it a perfect end-of-the-day strain and a nice match for folks contending with stress, restlessness, and pain."
Blue-Zombie,indica,4.7,"Relaxed,Euphoric,Hungry,Sleepy,Happy","Pungent,Earthy,Pepper","Blue Zombie (not to be confused with the Zombie OG strain lineage) is a full indica that boasts medical-grade potency and effects. With notes of fresh ground coffee, fuel, and skunky grape, this strain packs a surprising diverse array of terpenes. Wrapping the mind in an uplifting, mood enhancing haze, Blue Zombie creeps onto the body with numbness and sedation within the first half hour. Patients suffering from chronic pain may benefit greatly from this particular cut. "
Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet","A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best Indica. The long history of the strain is traced back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many medical patients appreciate Blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content. "
Blueberry-Ak,hybrid,4.9,"Energetic,Relaxed,Euphoric,Happy,Sleepy","Blueberry,Sweet,Pungent","As the name suggests, Blueberry AK is a hybrid strain that combines the indica-dominant Blueberry with the sativa-dominant AK-47, both popular and potent strains in their own right.  Blueberry AK has a strong musky odor with undertones of berry, and flavors ranging from sweet Kush to the more peppery taste of the AK. The effects of this hybrid are both relaxing and upbeat, often inducing a case of the giggles, and people have used it to treat anxiety, depression, and pain."
Blueberry-Blast,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Talkative","Blueberry,Berry,Sweet","A mostly sativa hybrid from Snow High Seeds, Blueberry Blast is a the result of the famous Blueberry-Haze genetics of Blue Dream being pollinated by a Johnny Blaze male. These flowers smell strongly of blueberry, musk, and sweet candy, and taste like cedar and berries when smoked or vaped. A definite sativa effect is to be expected, with soaring, trippy highs that gradually fade into relaxation."
Blueberry-Bomb,hybrid,5,Relaxed,"Berry,Citrus","Blueberry Bomb is an indica-dominant hybrid created by Palomar Craft Cannabis. This strain is a cross of Blueberry x Afghani and offers semi-weighted physical effects that relax muscles while combating stress and anxiety. The terpene profile is dominated by the scent of fresh blueberries, but underlying notes of orange peel and sweet earth can be present as well. Enjoy this strain near the end of the day to maximize its soothing physical attributes.  "
Blueberry-Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly","Blueberry,Sweet,Cheese","With a smell distinctly of blueberry cheesecake, this strain was bred from Blueberry and Cheese. Flowers are known to be lime green and dark violet in color with orange hairs and a large coat of crystals. "
Blueberry-Diesel,hybrid,4.2,"Uplifted,Happy,Euphoric,Relaxed,Focused","Blueberry,Diesel,Sweet","Blueberry Diesel is a cross of two favorite strains, Blueberry and Sour Diesel. It is probably best known for its strong blueberry smell with hints of fuel from its Diesel lineage. Blueberry also overwhelms the flavor of these sticky flowers, which should have plenty of trichomes and long orange hairs. Effects tend to be happy and relaxing but not too overwhelming, making this a popular choice for many kinds of patients."
Blueberry-Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused","Sweet,Flowery,Pine","From Leafs by Snoop, Blueberry Dream is a sativa strain with undisclosed genetics. Likely similar to the famous Blue Dream hybrid, Blueberry Dream is said to bring out your creativity while giving the mood a boost, all with the sweet flavor of ripe blueberries. With a typical THC content of about 14%, Blueberry Dream is a good choice for beginners looking for a less jarring psychoactive experience."
Blueberry-Essence,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Sweet,Mango","Blueberry Essence is a high-CBD cannabis strain bred by Life Gardens in Washington. The undisclosed genetics produce purple buds that come with a mellow, fruity aroma and an earthy aftertaste that entices medical marijuana patients with its ability to combat an array of symptoms and conditions. Blueberry Essence relaxes away pain with a tingly sensation that reverberates throughout your extremities, providing a calming sense of bliss that eventually levels off to help induce sleep."
Blueberry-Haze,hybrid,4.2,"Happy,Euphoric,Creative,Uplifted,Energetic","Blueberry,Berry,Sweet","A hybrid cross of Blueberry and Haze, provides a sweet smoke and pleasant high.  Pace yourself with this one, overdoing it can send you to dreamland. "
Blueberry-Headband,hybrid,4.3,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Blueberry,Berry,Earthy","Several renditions of the Blueberry Headband hybrid are known to exist, which is unsurprising considering the popularity of its parent strains, but the original Blueberry Headband from NorCal’s Emerald Triangle Seeds is the most documented version. Rather than a simple cross of Headband and Blueberry, the ETS version combines ‘76 Blueberry, Emerald OG Kush, Cali Sour D, and Pre-98 Bubba Kush into a 50/50 indica-sativa hybrid that smells of diesel, berries and pepper. Growers can expect medium-tall, bushy plants with huge yields of highly resinous colas.  Blueberry Headband produces a hybrid-type high, with a nice cerebral rush and relaxing body effect.  "
Blueberry-Jack,hybrid,4.3,"Relaxed,Happy,Creative,Giggly,Hungry","Blueberry,Pine,Berry","A cross between the legendary Jack Herer and DJ Short Blueberry, Blueberry Jack has something special to offer in both flavor and effect. Sweet, candied blueberry flavors invade on the inhale while the earthy, piney exhale reminds you of this strain’s Jack heritage. A lively sativa buzz typically dominates Blueberry Jack’s effect profile, with just enough physical relaxation to keep you grounded. Blueberry Jack offers an easy escape from stress and bad moods, keeping you positive and motivated through the day."
